song_name,artist_name,lyrics,estilo,song_url,album,release_date,track_name,duration_ms,popularity,normalized_song_name,normalized_artist_name,release_year,lyrics_processed,num_versos,len_lyrics
Breaking Away,Rata Blanca,El tema se basa el la progresión de los siguentes acordes:<br>Punteo de fondo en el final<br>que via el rock: o no cabrones,rok,https://acordes.lacuerda.net/rata_blanca/breaking_away,Entre el Cielo y el Infierno / El Libro Oculto,2001-06-15 00:00:00,Breaking Away,298800.0,17.0,breaking away,rata blanca,2001.0,El tema se basa el la progresión de los siguentes acordes:<br>Punteo de fondo en el final<br>que via el rock: o no cabrones,2,123
Jerusalen,Rata Blanca,Pm                     .............,rok,https://acordes.lacuerda.net/rata_blanca/jerusalen,Entre el Cielo y el Infierno,1995-01-24 00:00:00,Jerusalén,455000.0,24.0,jerusalen,rata blanca,1995.0,Pm                     .............,0,36
Otonio Medieval,Rata Blanca,"FIN<br>Esta es la más difícil que he sacado,<br>y tambien va por ti MAYRA",rok,https://acordes.lacuerda.net/rata_blanca/otonio_medieval,,,,,,otonio medieval,rata blanca,,"FIN<br>Esta es la más difícil que he sacado,<br>y tambien va por ti MAYRA",2,73
Por Que Es Tan Dificil Amar,Rata Blanca,SIM - MIm - LAM - REM - SOLM - MIm - FA#<br>AQUI ENTRA EL SOLO DEL PIANO (SUPONGO QUE ESA PARTE YA TE LA SABES)<br>SIM - MIm - LAM - REM - SOLM - MIm - FA#<br>SIm - SIM - MIm - LAM - REM - SOLM - MIm - FA#<br>////MIm - LAM - REM - SOLM - DOM - FA# - SIm - SIM//// (4 veces),rok,https://acordes.lacuerda.net/rata_blanca/por_que_es_tan_dificil_amar,"Magos, Espadas Y Rosas",2004-01-01 00:00:00,Por Que Es Tan Dificil Amar,330413.0,40.0,por que es tan dificil amar,rata blanca,2004.0,SIM - MIm - LAM - REM - SOLM - MIm - FA#<br>AQUI ENTRA EL SOLO DEL PIANO (SUPONGO QUE ESA PARTE YA TE LA SABES)<br>SIM - MIm - LAM - REM - SOLM - MIm - FA#<br>SIm - SIM - MIm - LAM - REM - SOLM - MIm - FA#<br>////MIm - LAM - REM - SOLM - DOM - FA# - SIm - SIM//// (4 veces),4,273
Dalia,Ratio,"Èste intro lleva gtr. Acùstica en las primeras 8 vueltas despuès entra con elèctrica limpia durante todo el tiempo de la letra y en el solo con distor.<br>Riff2      Èste Riff se toca durante el solo con distor y despuès del solo repitiendo la segunda estrofa de la letra ,despuès se<br>Cuatro veces y ese es el final<br>El ùltimo a corde se toca sòlamente en la ùltima vuelta",rok,https://acordes.lacuerda.net/ratio/dalia,,,,,,dalia,ratio,,"Èste intro lleva gtr. Acùstica en las primeras 8 vueltas despuès entra con elèctrica limpia durante todo el tiempo de la letra y en el solo con distor.<br>Riff2      Èste Riff se toca durante el solo con distor y despuès del solo repitiendo la segunda estrofa de la letra ,despuès se<br>Cuatro veces y ese es el final<br>El ùltimo a corde se toca sòlamente en la ùltima vuelta",3,376
La Calaka,Ratio,Riff 1     Èste Riff se toca dos veces despues del intro y en la ùltima vez se dejan las notas del ùltimo acorde sin callarlas<br>Entre la primera y la segunda repetidiòn se toca E# con palm muting en 16 rasgueos ràpidos.<br>E          Riff 2 Èste riff se toca durante los pàrrafos de la letra y en el coro es igual solo que con palm muting y sin los slides<br>Riff 3    Èste Riff se toca una vez despuès del coro.<br>Despuès del Solo se vuelve a tocar el coro y el Riff 3 solo que al ùltimo se espacìan mas los cuatro acordes finales.,rok,https://acordes.lacuerda.net/ratio/la_calaka,,,,,,la calaka,ratio,,Riff 1     Èste Riff se toca dos veces despues del intro y en la ùltima vez se dejan las notas del ùltimo acorde sin callarlas<br>Entre la primera y la segunda repetidiòn se toca E# con palm muting en 16 rasgueos ràpidos.<br>E          Riff 2 Èste riff se toca durante los pàrrafos de la letra y en el coro es igual solo que con palm muting y sin los slides<br>Riff 3    Èste Riff se toca una vez despuès del coro.<br>Despuès del Solo se vuelve a tocar el coro y el Riff 3 solo que al ùltimo se espacìan mas los cuatro acordes finales.,4,535
Guernica,Shaila,"y le extendí mis brazos para caer sobre él...<br>vi en mis manos arder el tiempo que se desangra en su llanto<br>Sé testigo de mi muerte, sé mi suerte onírica y real....<br>sé destino del camino, sé el sentido, el rumbo a recordar",rok,https://acordes.lacuerda.net/shaila/guernica,Cuando no quieras sentir (El musical) [Versión El musical],2023-06-16 00:00:00,Guernica - Versión El musical,224309.0,1.0,guernica,shaila,2023.0,"y le extendí mis brazos para caer sobre él...<br>vi en mis manos arder el tiempo que se desangra en su llanto<br>Sé testigo de mi muerte, sé mi suerte onírica y real....<br>sé destino del camino, sé el sentido, el rumbo a recordar",3,230
Epilogo,Skay Beilinson,Suelten las amarras!!!! Poly Herrera,rok,https://acordes.lacuerda.net/skay_beilinson/epilogo,El Engranaje de Cristal,2016-09-21 00:00:00,Epílogo,127826.0,15.0,epilogo,skay beilinson,2016.0,Suelten las amarras!!!! Poly Herrera,0,36
Para Mi,Soldado,"Ella tiene algo que es para mi, para mi<br>ella tiene algo y es para mi<br>Ella guarda algo y es para mi, para mi<br>ella guarda algo y es para mi  UHH UHHHH LARAIILALAIRA<br>UHH UHHHH",rok,https://acordes.lacuerda.net/soldado/para_mi,Luna en el Espejo,2014-05-01 00:00:00,Para Mi,252266.0,4.0,para mi,soldado,2014.0,"Ella tiene algo que es para mi, para mi<br>ella tiene algo y es para mi<br>Ella guarda algo y es para mi, para mi<br>ella guarda algo y es para mi  UHH UHHHH LARAIILALAIRA<br>UHH UHHHH",4,184
Amenabar,Spinetta Jade,Repite AAB,rok,https://acordes.lacuerda.net/spinetta_jade/amenabar,Alma de Diamante,1980-04-08 00:00:00,Amenábar,327066.0,40.0,amenabar,spinetta jade,1980.0,Repite AAB,0,10
La Flor Amarilla,Tamara Castro,"Primer tema que intento sacar y subo,<br>próximamente voy a tratar de completarlo con los acordes y demás adornos",rok,https://acordes.lacuerda.net/tamara_castro/la_flor_amarilla,,,,,,la flor amarilla,tamara castro,,"Primer tema que intento sacar y subo,<br>próximamente voy a tratar de completarlo con los acordes y demás adornos",1,113
Perdimos,Tristemente Celebres,Cambio A<br>Cambio B,rok,https://acordes.lacuerda.net/tristemente_celebres/perdimos,Tristemente Celebres,,Perdimos,194694.0,1.0,perdimos,tristemente celebres,,Cambio A<br>Cambio B,1,20
Pendeja,Villanos,"Bueno, dudas y correcciones a mi mail...<br>Saludos a todos y aguante Villanos!<br>'Quiero una mujer de verdad... no una hija que educar...'",rok,https://acordes.lacuerda.net/villanos/pendeja,No Disparen!,2004-11-30 00:00:00,Pendeja,233026.0,14.0,pendeja,villanos,2004.0,"Bueno, dudas y correcciones a mi mail...<br>Saludos a todos y aguante Villanos!<br>'Quiero una mujer de verdad... no una hija que educar...'",2,140
Resurreccion,Massacre,Parece un desierto la ciudad<br>ya es hora de resucitar<br>mañana ya verás<br>van a crecernos alas<br>Van a crecernos alas,rok,https://acordes.lacuerda.net/massacre/resurreccion,El Mamut,,Resurrección,255800.0,23.0,resurreccion,massacre,,Parece un desierto la ciudad<br>ya es hora de resucitar<br>mañana ya verás<br>van a crecernos alas<br>Van a crecernos alas,4,122
En La Estacion,Quebraditos,Los acordes en la rola.,rok,https://acordes.lacuerda.net/quebraditos/en_la_estacion,Quebraditos (2011),2011-01-01 00:00:00,En la estación,230625.0,7.0,en la estacion,quebraditos,2011.0,Los acordes en la rola.,0,23
La Lluvia De Esta Noche,Riesgo Mondiola,aguante Riesgo Mondiola . . .!!!!!!!<br>http://www.riesgomondiola.com.ar<br>http://www.fotolog.com/riesgo_mondiola,rok,https://acordes.lacuerda.net/riesgo_mondiola/la_lluvia_de_esta_noche,,,,,,la lluvia de esta noche,riesgo mondiola,,aguante Riesgo Mondiola . . .!!!!!!!<br>http://www.riesgomondiola.com.ar<br>http://www.fotolog.com/riesgo_mondiola,2,114
Noches De Ciencia Ficcion,Mi Amigo Invencible,Y todo el mundo quiere ser culpable<br>De acabar con todo nuestro amor<br>Y que me quede esta noche en casa<br>Cantando solo y pensando en vos,rok,https://acordes.lacuerda.net/mi_amigo_invencible/noches_de_ciencia_ficcion,La Danza de los Principiantes,2015-08-09 00:00:00,Noches de Ciencia Ficción,115947.0,29.0,noches de ciencia ficcion,mi amigo invencible,2015.0,Y todo el mundo quiere ser culpable<br>De acabar con todo nuestro amor<br>Y que me quede esta noche en casa<br>Cantando solo y pensando en vos,3,142
Fin De Anio,Ligas Menores,Guitarras en el piso<br>Glaciares congelados a nuestro alrededor<br>Guitarras en el piso<br>Me gustaría quedarme para siempre acá con vos<br>Termina con: D Dmaj7 D6 F#m G A G A,rok,https://acordes.lacuerda.net/ligas_menores/fin_de_anio,,,,,,fin de anio,ligas menores,,Guitarras en el piso<br>Glaciares congelados a nuestro alrededor<br>Guitarras en el piso<br>Me gustaría quedarme para siempre acá con vos<br>Termina con: D Dmaj7 D6 F#m G A G A,4,176
Carmen De Pantalones,Huevo,Pre estribillo<br>Estribillo<br>Verso<br>Pre estribillo<br>Estribillo<br>Final,rok,https://acordes.lacuerda.net/huevo/carmen_de_pantalones,No Todos Eren Como Ti,2017-05-21 00:00:00,Carmen de Pantalones,187315.0,13.0,carmen de pantalones,huevo,2017.0,Pre estribillo<br>Estribillo<br>Verso<br>Pre estribillo<br>Estribillo<br>Final,5,78
Flow De Cuyo,Perras On The Beach,"Am7 - D7sus2<br>Todo está perdido, lo sé<br>El mundo está jodido<br>Tal vez hay que cuidarnos como aquella vez",rok,https://acordes.lacuerda.net/perras_on_the_beach/flow_de_cuyo,Flow de Cuyo,2018-05-10 00:00:00,Flow de Cuyo,240210.0,27.0,flow de cuyo,perras on the beach,2018.0,"Am7 - D7sus2<br>Todo está perdido, lo sé<br>El mundo está jodido<br>Tal vez hay que cuidarnos como aquella vez",3,110
Tema De Todas Las Epocas,Reloj,Fin.,rok,https://acordes.lacuerda.net/reloj/tema_de_todas_las_epocas,,,,,,tema de todas las epocas,reloj,,Fin.,0,4
La Caza Del Mosquito,Alas,(1:42)<br>(1:57)<br>la! la! la! la!<br>Ese sería el trabajo de la guitarra en la canción,rok,https://acordes.lacuerda.net/alas/la_caza_del_mosquito,,,,,,la caza del mosquito,alas,,(1:42)<br>(1:57)<br>la! la! la! la!<br>Ese sería el trabajo de la guitarra en la canción,3,88
New Funk,Paso Nivel,RIFF 2:<br>RIFF FINAL:,rok,https://acordes.lacuerda.net/paso_nivel/new_funk,,,,,,new funk,paso nivel,,RIFF 2:<br>RIFF FINAL:,1,22
Amerika Bonita,Arbolito,- Repite la primera parte y despues sigue esta variación:<br>Los acordes de acompañamiento serían:,tra,https://acordes.lacuerda.net/arbolito/amerika_bonita,,,,,,amerika bonita,arbolito,,- Repite la primera parte y despues sigue esta variación:<br>Los acordes de acompañamiento serían:,1,98
Libertango,Astor Piazzola,"Bueno, tambien deje los acordes y si hay alguna duda serian:<br>Creo que la partitura en si esta perfecta lo que quizas tenga<br>errores es la tabulacion de los acordes, si hay algun problema<br>por favor enviarme un mail.<br>Saludos!",tra,https://acordes.lacuerda.net/astor_piazzola/libertango,,,,,,libertango,astor piazzola,,"Bueno, tambien deje los acordes y si hay alguna duda serian:<br>Creo que la partitura en si esta perfecta lo que quizas tenga<br>errores es la tabulacion de los acordes, si hay algun problema<br>por favor enviarme un mail.<br>Saludos!",4,234
Recauda Tus Prendas,Atahualpa Yupanqui,[-5s10-9s7-5-3s5-7-5-3-2-]<br>(Repite todo de vuelta)<br>(Repite intro)<br>Final<br>Si:--5s10-9-7-5--3-5-7-5-3-2-],tra,https://acordes.lacuerda.net/atahualpa_yupanqui/recauda_tus_prendas,,,,,,recauda tus prendas,atahualpa yupanqui,,[-5s10-9s7-5-3s5-7-5-3-2-]<br>(Repite todo de vuelta)<br>(Repite intro)<br>Final<br>Si:--5s10-9-7-5--3-5-7-5-3-2-],4,114
La Humilde,Carabajal,Melodía:<br>Melodia,tra,https://acordes.lacuerda.net/carabajal/la_humilde,,,,,,la humilde,carabajal,,Melodía:<br>Melodia,1,19
Damacita,Chaqueño Palavecino,/ : Arrastrar.,tra,https://acordes.lacuerda.net/chaquenio_palavecino/damacita,El Gusto Es Mio,2006-01-01 00:00:00,Damacita,176146.0,11.0,damacita,chaqueño palavecino,2006.0,/ : Arrastrar.,0,14
No Quisiera Quererte,Luciano Pereyra,"'No quisiera quererte, pero te quiero; ese castigo tiene<br>la vida mia; por tenerte conmigo, me desespero, pero si<br>te acercaras, me alejaria.'<br>El resto de las estrofas es igual musicalmente, pero varia un poco el estribillo:<br>'Dentro de mi corazon estas tu, y jamas podre olvidarte,",tra,https://acordes.lacuerda.net/luciano_pereyra/no_quisiera_quererte,Soy Tuyo,2002-01-01 00:00:00,No Quisiera Quererte,208026.0,34.0,no quisiera quererte,luciano pereyra,2002.0,"'No quisiera quererte, pero te quiero; ese castigo tiene<br>la vida mia; por tenerte conmigo, me desespero, pero si<br>te acercaras, me alejaria.'<br>El resto de las estrofas es igual musicalmente, pero varia un poco el estribillo:<br>'Dentro de mi corazon estas tu, y jamas podre olvidarte,",4,291
Garua,Roberto Goyeneche,(X2)                     (X2)<br>(Final),tra,https://acordes.lacuerda.net/roberto_goyeneche/garua,Antologia Roberto Goyeneche,2000-03-10 00:00:00,Garúa,178453.0,40.0,garua,roberto goyeneche,2000.0,(X2)                     (X2)<br>(Final),1,40
Te Sigo Extraniando,Cumbia,"Verso 1<br>Estribillo 1<br>Verso 2<br>Estribillo Final:<br>P, h: Hammer<br>/   : Slide",tro,https://acordes.lacuerda.net/cumbia/te_sigo_extraniando,,,,,,te sigo extraniando,cumbia,,"Verso 1<br>Estribillo 1<br>Verso 2<br>Estribillo Final:<br>P, h: Hammer<br>/   : Slide",5,86
Hoy Vengo A Pedirte Perdon,Del Bohio,Hoy vengo a pedirte perdon.. por el error que cometi<br>De haberte hecho tanto mal y lastimar tu corazon (repite)<br>(2da parte con los mismos acordes)<br>Estribillo<br>Volvera a nacer.. aquel gran amor.. que crecio una vez.. en tu corazon,tro,https://acordes.lacuerda.net/del_bohio/hoy_vengo_a_pedirte_perdon,Un Recuerdo Me Hace Llorar,2018-03-31 00:00:00,Hoy Vengo a Pedirte Perdón,148715.0,4.0,hoy vengo a pedirte perdon,del bohio,2018.0,Hoy vengo a pedirte perdon.. por el error que cometi<br>De haberte hecho tanto mal y lastimar tu corazon (repite)<br>(2da parte con los mismos acordes)<br>Estribillo<br>Volvera a nacer.. aquel gran amor.. que crecio una vez.. en tu corazon,4,239
Para Toda La Gente,Del Bohio,Donde los puedo encontrar<br>Mi ciudad.. Recuerdo de ayer.. lugar donde la gente me vio..<br>Y no los voy a olvidar<br>Sus costumbres y tambien su gran amor<br>Para toda aquella gente canto yo...,tro,https://acordes.lacuerda.net/del_bohio/para_toda_la_gente,Raza Tropical,,Para Toda la Gente,169116.0,4.0,para toda la gente,del bohio,,Donde los puedo encontrar<br>Mi ciudad.. Recuerdo de ayer.. lugar donde la gente me vio..<br>Y no los voy a olvidar<br>Sus costumbres y tambien su gran amor<br>Para toda aquella gente canto yo...,4,195
Polvo En El Viento,Del Bohio,Que me cobijo a mi<br>Voy... Trotamundo soy<br>Quiero junto a ti..  Vivir<br>Laa..     Laa..   Laa..<br>Laralala  Laralala Lalarala,tro,https://acordes.lacuerda.net/del_bohio/polvo_en_el_viento,Un Sueño Más,2018-10-10 00:00:00,Polvo en el Viento,210651.0,6.0,polvo en el viento,del bohio,2018.0,Que me cobijo a mi<br>Voy... Trotamundo soy<br>Quiero junto a ti..  Vivir<br>Laa..     Laa..   Laa..<br>Laralala  Laralala Lalarala,4,131
A Donde Vas,Del Fuego,bueno espero q les guste le faltan algunos arreglos pero suena bastante<br>bien saludos para los chicos de sila menor,tro,https://acordes.lacuerda.net/del_fuego/a_donde_vas,Somos los Mejores... Y Que Sigan Participando,2011-04-20 00:00:00,A Donde Vas,195735.0,38.0,a donde vas,del fuego,2011.0,bueno espero q les guste le faltan algunos arreglos pero suena bastante<br>bien saludos para los chicos de sila menor,1,117
Te Di Mis Besos,Garras De Amor,* ==============(Tono Original)============== *<br>* ==== (Transcripción: Rodrigo González) ==== *,tro,https://acordes.lacuerda.net/garras_de_amor/te_di_mis_besos,Grandes Éxitos (En Vivo),2016-09-08 00:00:00,Te Dí Mis Besos - En Vivo,111493.0,23.0,te di mis besos,garras de amor,2016.0,* ==============(Tono Original)============== *<br>* ==== (Transcripción: Rodrigo González) ==== *,1,98
Que Sera De Ti,Leales,"Gracias Junio 21, 2016",tro,https://acordes.lacuerda.net/leales/que_sera_de_ti,Exitos de oro,2010-04-12 00:00:00,Que Sera de Ti,199373.0,25.0,que sera de ti,leales,2010.0,"Gracias Junio 21, 2016",0,22
La Musiquera,Palmeras,"Yo tengo una chaparrita, que es una muchacha parrandera, x2<br>y como es tan abusadita, le dicen la musiquera. x2<br>Le dicen la musiquera, le dicen la musiquera, x2<br>musiquera hay por dios, vamos a rumbear los dos, x2<br>hay los dos hay los dos, vamos a rumbear los dos. x2",tro,https://acordes.lacuerda.net/palmeras/la_musiquera,Boquita Azucarada,1991-06-30 00:00:00,La Musiquera,216640.0,2.0,la musiquera,palmeras,1991.0,"Yo tengo una chaparrita, que es una muchacha parrandera, x2<br>y como es tan abusadita, le dicen la musiquera. x2<br>Le dicen la musiquera, le dicen la musiquera, x2<br>musiquera hay por dios, vamos a rumbear los dos, x2<br>hay los dos hay los dos, vamos a rumbear los dos. x2",4,276
Atento,Empuje,Atento que les voy a enseñar (x2)<br>a bailar cumbia y agitar<br>a bailar cumbia y basilar.<br>La basilamos los negros cumbieros<br>alzen las manos cumbieros no los veo,tro,https://acordes.lacuerda.net/empuje/atento,Cumbia Cha Cha!!!,2006-01-01 00:00:00,Atento,154520.0,11.0,atento,empuje,2006.0,Atento que les voy a enseñar (x2)<br>a bailar cumbia y agitar<br>a bailar cumbia y basilar.<br>La basilamos los negros cumbieros<br>alzen las manos cumbieros no los veo,4,168
Viendolo Bien,Chaques,Viéndolo bien ya no te voy<br>a detener<br>ya no te voy a suplicar<br>ya me canse.,tro,https://acordes.lacuerda.net/chaques/viendolo_bien,Vol 1,1995-04-14 00:00:00,Viendolo bien,117472.0,0.0,viendolo bien,chaques,1995.0,Viéndolo bien ya no te voy<br>a detener<br>ya no te voy a suplicar<br>ya me canse.,3,82
